"Animal.ID","Strongyle.EPG","Strongyle.LPG","Coccidia.EPG","Cestode.EPG","Ascarid.EPG","Mite.LPG","Fecal.Mass(g)","Site","Sex","SVL","Mass","regline","BCI"
"ANFO_16_102",0,0,0,0,0,0,0.167,"Park","M",52,18,16.7738,1.2262
"ANFO_18",2608.28625235405,1385,0,0,0,0,0.531,"Park","M",49,16,13.8188,2.1812
"ANFO_21",1976.24190064795,25,0,0,0,0,0.926,"Park","F",52,21,16.7738,4.2262
"ANFO_23_104_149",424.242424242424,0,0,0,0,0,0.33,"Park","M",56,20,20.7138,-0.713799999999999
"ANFO_24",11.6279069767442,0,0,0,0,0,0.86,"Park","F",60,31,24.6538,6.3462
"ANFO_25",829.787234042553,0,0,0,0,0,0.235,"Park","M",54,15,18.7438,-3.7438
"ANFO_27",2129.90936555891,275,0,0,0,0,0.993,"Park","F",69,36,33.5188,2.48119999999999
"ANFO_28",1421.56862745098,30,0,0,0,0,0.918,"Park","F",55,24,19.7288,4.2712
"ANFO_7_99_142",8.9171974522293,7,2.54777070063694,2.54777070063694,0,8.9171974522293,0.785,"Park","F",63,29,27.6088,1.3912
"ANFO_133",0,0,8.26446280991736,0,0,4.13223140495868,0.242,"Zoo","M",54,15,18.7438,-3.7438
"ANFO_134",77.2870662460568,11,0,0,0,0,0.634,"Zoo","M",60,25,24.6538,0.346199999999996
"ANFO_32_136_194",25.7186081694402,5,0,0,3.02571860816944,0,0.661,"Zoo","M",58,21,22.6838,-1.68380000000001
"ANFO_137_197",256.488549618321,8,3.05343511450382,0,3.05343511450382,1.52671755725191,0.655,"Zoo","F",58,20,22.6838,-2.68380000000001
"ANFO_138",362.676056338028,25,38.7323943661972,0,0,14.0845070422535,0.284,"Zoo","M",53,17,17.7588,-0.758800000000001
"ANFO_140_182",2588.86255924171,0,4.739336492891,3.55450236966825,8.29383886255924,2.3696682464455,0.844,"Zoo","F",67,30,31.5488,-1.54880000000001
"ANFO_141",105.543710021322,43,0,0,0,8.52878464818763,0.938,"Zoo","F",60,24,24.6538,-0.653800000000004
"ANFO_157_176",77.5956284153005,24,0,22.9508196721311,0,45.9016393442623,0.915,"Zoo","M",60,23,24.6538,-1.6538
"ANFO_158",821.167883211679,25,0,0,1.21654501216545,0,0.822,"Zoo","M",55,18,19.7288,-1.7288
"ANFO_159",7.89889415481833,2,0,0,0,7.89889415481833,0.633,"Zoo","M",59,21,23.6688,-2.6688
"ANFO_160",766.519823788546,2,16.1527165932452,4.40528634361233,4.40528634361233,2.93685756240822,0.681,"Zoo","M",54,16,18.7438,-2.7438
"ANFO_162",38.0165289256198,3,0,0,0,0,0.605,"Zoo","F",60,20,24.6538,-4.6538
"ANFO_164",290.010741138561,95,0,2.14822771213749,0,8.59291084854995,0.931,"Zoo","F",65,31,29.5788,1.42119999999999
"ANFO_165",86.6035182679296,17,2.7063599458728,0,0,14.8849797023004,0.739,"Zoo","F",61,20,25.6388,-5.6388
"ANFO_166",169.72972972973,61,0,0,3.24324324324324,24.8648648648649,0.925,"Zoo","M",58,21,22.6838,-1.68380000000001
"ANFO_167",14.4329896907216,3,0,0,8.24742268041237,4.12371134020619,0.97,"Zoo","F",62,24,26.6238,-2.6238
"ANFO_171_184",251.572327044025,0,0,0,0,3.14465408805031,0.636,"Zoo","M",56,20,20.7138,-0.713799999999999
"ANFO_172",111.98738170347,3,520.504731861199,0,0,7.88643533123028,0.634,"Zoo","F",69,32,33.5188,-1.51880000000001
"ANFO_173",743.732590529248,2,0,11.142061281337,2.78551532033426,0,0.359,"Zoo","F",66,29,30.5638,-1.56380000000001
"ANFO_175",646.034816247582,4,50.2901353965184,3.86847195357834,0,1.93423597678917,0.517,"Zoo","F",55,16,19.7288,-3.7288
"ANFO_177",9.61538461538461,3,0,0,0,1.92307692307692,0.52,"Zoo","M",57,20,21.6988,-1.6988
"ANFO_140_182",2471.26436781609,5,0,0,2.8735632183908,4.31034482758621,0.696,"Zoo","F",63,27,27.6088,-0.608800000000002
"ANFO_171_184",468.196037539103,9,11.4702815432742,0,4.17101147028154,3.12825860271116,0.959,"Zoo","F",68,34,32.5338,1.46619999999999
"ANFO_31_187",27.2020725388601,9,2.59067357512953,0,0,11.6580310880829,0.772,"Zoo","M",57,20,21.6988,-1.6988
"ANFO_188",376.83284457478,2,4.39882697947214,0,4.39882697947214,21.9941348973607,0.682,"Zoo","M",55,14,19.7288,-5.7288
"ANFO_189",6.91244239631336,1,0,2.30414746543779,0,0,0.434,"Zoo","F",53,13,17.7588,-4.7588
"ANFO_190",33.3333333333333,10,1.01010101010101,0,1.01010101010101,1.01010101010101,0.99,"Zoo","F",68,32,32.5338,-0.533800000000006
"ANFO_192",97.9643765903308,77,0,0,6.36132315521628,1.27226463104326,0.786,"Zoo","F",66,24,30.5638,-6.56380000000001
"ANFO_193",19.4444444444444,14,196875,0,1.38888888888889,2.77777777777778,0.72,"Zoo","F",57,20,21.6988,-1.6988
"ANFO_32_136_194",75.2256770310933,21,0,0,1.00300902708124,2.00601805416249,0.997,"Zoo","M",59,20,23.6688,-3.6688
"ANFO_195",601.26582278481,5,0,0,1.05485232067511,3.16455696202532,0.948,"Zoo","M",60,20,24.6538,-4.6538
"ANFO_135_196",16.5562913907285,1,109.271523178808,0,195.364238410596,9.93377483443709,0.302,"Zoo","M",56,19,20.7138,-1.7138
"ANFO_29",1231.45400593472,5,11.8694362017804,26.7062314540059,3308.60534124629,0,0.337,"Zoo","M",58,22,22.6838,-0.683800000000005
"ANFO_31_187",1967.81609195402,501,0,0,6.89655172413793,9.19540229885057,0.435,"Zoo","M",56,17,20.7138,-3.7138
"ANFO_32_136_194",596.091205211726,36,0,0,0,1.62866449511401,0.614,"Zoo","M",57,22,21.6988,0.301200000000001
"ANFO_35",64.7820965842167,33,0,0,4.71142520612485,4.71142520612485,0.849,"Zoo","M",63,20,27.6088,-7.6088
"ANFO_40",104.575163398693,9,0,0,0,0,0.612,"Zoo","F",62,17,26.6238,-9.6238
"ANFO_41",1.58478605388273,0,0,0,0,1.58478605388273,0.631,"Zoo","F",60,23,24.6538,-1.6538
"ANFO_43",30.241935483871,18,3.0241935483871,0,11.0887096774194,0,0.992,"Zoo","F",67,27,31.5488,-4.54880000000001
"ANFO_52",5.0761421319797,1,0,30.4568527918782,0,0,0.197,"Zoo","M",59,21,23.6688,-2.6688
